FlowID, src, dst, maxDelay, T_tx, length, talker_txSpeed, listener_txSpeed
0, 1, 3, 0.5e-3, 2e-3, 32, 1e9, 1e9
1, 1, 3, 0.6e-3, 2e-3, 32, 1e9, 1e9
2, 0, 3, 0.4e-3, 2e-3, 32, 1e9, 1e9
3, 1, 2, 0.2e-3, 2e-3, 32, 1e9, 1e9
4, 1, 6, 2e-3, 2e-3, 32, 1e9, 1e9
5, 2, 5, 4e-3, 2e-3, 32, 1e9, 1e9
6, 4, 3, 0.1e-3, 2e-3, 32, 1e9, 1e9
7, 3, 5, 1e-3, 2e-3, 32, 1e9, 1e9
8, 6, 2, 3e-3, 2e-3, 32, 1e9, 1e9
9, 2, 3, 2e-3, 2e-3, 32, 1e9, 1e9
10, 6, 3, 0.5e-3, 2e-3, 64, 1e9, 1e9
11, 5, 2, 2e-3, 2e-3, 64, 1e9, 1e9
12, 4, 5, 6e-3, 2e-3, 64, 1e9, 1e9
13, 0, 6, 2e-3, 2e-3, 64, 1e9, 1e9
14, 1, 3, 2e-3, 2e-3, 128, 1e9, 1e9
15, 0, 2, 1e-3, 2e-3, 128, 1e9, 1e9
16, 0, 5, 2e-3, 2e-3, 128, 1e9, 1e9
17, 4, 1, 4e-3, 2e-3, 128, 1e9, 1e9
18, 0, 3, 4e-3, 4e-3, 64, 1e9, 1e9
19, 1, 2, 8e-3, 4e-3, 64, 1e9, 1e9
20, 1, 3, 0.4e-3, 4e-3, 128, 1e9, 1e9
21, 1, 2, 4e-3, 4e-3, 256, 1e9, 1e9
22, 2, 1, 0.8e-3, 4e-3, 256, 1e9, 1e9
23, 3, 1, 4e-3, 4e-3, 256, 1e9, 1e9
24, 0, 3, 3e-3, 8e-3, 256, 1e9, 1e9
25, 2, 3, 4e-3, 8e-3, 256, 1e9, 1e9
26, 3, 2, 1e-3, 8e-3, 256, 1e9, 1e9
27, 0, 2, 1e-3, 8e-3, 256, 1e9, 1e9
28, 2, 3, 4e-3, 8e-3, 256, 1e9, 1e9
29, 3, 0, 4e-3, 8e-3, 256, 1e9, 1e9
30, 2, 0, 6e-3, 8e-3, 256, 1e9, 1e9
