src, dst, maxDelay, T_tx, length, talker_txSpeed, listener_txSpeed
1, 3, 2e-3, 2e-3, 32, 1e9, 1e9
1, 3, 2e-3, 2e-3, 32, 1e9, 1e9
0, 3, 2e-3, 2e-3, 32, 1e9, 1e9
1, 2, 2e-3, 2e-3, 32, 1e9, 1e9
1, 6, 2e-3, 2e-3, 32, 1e9, 1e9
2, 5, 2e-3, 2e-3, 32, 1e9, 1e9
4, 3, 2e-3, 2e-3, 32, 1e9, 1e9
3, 5, 2e-3, 2e-3, 32, 1e9, 1e9
6, 2, 2e-3, 2e-3, 32, 1e9, 1e9
2, 3, 2e-3, 2e-3, 32, 1e9, 1e9
6, 3, 2e-3, 2e-3, 64, 1e9, 1e9
5, 2, 2e-3, 2e-3, 64, 1e9, 1e9
4, 5, 2e-3, 2e-3, 64, 1e9, 1e9
0, 6, 2e-3, 2e-3, 64, 1e9, 1e9
1, 3, 2e-3, 2e-3, 128, 1e9, 1e9
0, 2, 2e-3, 2e-3, 128, 1e9, 1e9
0, 5, 2e-3, 2e-3, 128, 1e9, 1e9
4, 1, 2e-3, 2e-3, 128, 1e9, 1e9
0, 3, 2e-3, 4e-3, 64, 1e9, 1e9
1, 2, 2e-3, 4e-3, 64, 1e9, 1e9
1, 3, 4e-3, 4e-3, 128, 1e9, 1e9
1, 2, 4e-3, 4e-3, 256, 1e9, 1e9
2, 1, 4e-3, 4e-3, 256, 1e9, 1e9
3, 1, 4e-3, 4e-3, 256, 1e9, 1e9
0, 3, 4e-3, 8e-3, 256, 1e9, 1e9
2, 3, 4e-3, 8e-3, 256, 1e9, 1e9
3, 2, 4e-3, 8e-3, 256, 1e9, 1e9
0, 2, 4e-3, 8e-3, 256, 1e9, 1e9
2, 3, 4e-3, 8e-3, 256, 1e9, 1e9
3, 0, 4e-3, 8e-3, 256, 1e9, 1e9
2, 0, 4e-3, 8e-3, 256, 1e9, 1e9
